headline,url,published,category
Art Exhibition: ಅತೀವ ಭಾವದ ಅನುವಾದವೇ ಅಮೂರ್ತ ಕಲಾಕೃತಿ,https://www.prajavani.nethttps://www.prajavani.net/art-culture/art/ram-kumar-art-exhibition-map-bengaluru-3429999,1753572600000,art-culture
ನಾಟಕ: ಲಂಡನ್‌ನಲ್ಲಿ ಲಯನ್ ಕಿಂಗ್ ನೋಡಿದಾಗ...,https://www.prajavani.nethttps://www.prajavani.net/entertainment/theatre/lion-king-musical-london-theatre-experience-3429676,1753572600000,art-culture
'Language of Lines' ಕಲಾ ಪ್ರದರ್ಶನ: 'ಚಿತ್ತಾರ'ದಲ್ಲಿ ಅರಳಿದ ದೀವರ ಸಂಸ್ಕೃತಿ,https://www.prajavani.nethttps://www.prajavani.net/art-culture/art/chittara-art-deevara-community-karnataka-3429670,1753572600000,art-culture
"ರೈತರಲ್ಲಿ ಆತಂಕ, ರಿಯಲ್ ಎಸ್ಟೇಟ್ ಉದ್ಯಮಿಗಳಿಗೆ ಸಂತಸ: ಜೀವ್ನಾನಾ? ಏರ್‌ಪೋರ್ಟಾ?",https://www.prajavani.nethttps://www.prajavani.net/art-culture/article-features/second-airport-bengaluru-farmers-fear-kanakapura-magadi-3429943,1753572600000,art-culture
"ಸಾದರ ಸ್ವೀಕಾರ: ಹೊಸ ಕನ್ನಡ ಪುಸ್ತಕಗಳ ಪರಿಚಯ
",https://www.prajavani.nethttps://www.prajavani.net/art-culture/book-review/kannada-literature-new-books-3429585,1753529933763,art-culture
ಸಂದರ್ಶನ: ರೀಲ್ಸ್ ರಾಣಿ ಪ್ರಿಯಾ ಸವಡಿ  ‘ಹಾವು ರಾಣಿ’ಯೂ ಹೌದು..!,https://www.prajavani.nethttps://www.prajavani.net/art-culture/article-features/interview-reels-queen-priya-savadi-is-also-the-snake-queen-3427506,1753487520000,art-culture
ಅಮೆರಿಕದಲ್ಲಿ ರಂಜಿಸಿದ ಕನ್ನಡದ ಹೆಮ್ಮೆಯ ಯಕ್ಷಗಾನ,https://www.prajavani.nethttps://www.prajavani.net/art-culture/art/yakshagana-dr-shivaram-karanth-international-performance-america-radhakrishna-urala-triaksha-3422222,1753263608806,art-culture
ಹುಬ್ಬಳ್ಳಿ| ರಾಷ್ಟ್ರ ಮಟ್ಟದ ಚಿತ್ರಕಲಾ ಪ್ರದರ್ಶನ: ಭಾವ ಬಣ್ಣ ರೇಖೆ ಇತ್ಯಾದಿಗಳು..,https://www.prajavani.nethttps://www.prajavani.net/art-culture/art/national-art-exhibition-indian-contemporary-paintings-3412463,1752977527210,art-culture
ನಾಟಕ ವಿಮರ್ಶೆ: ರಂಗದ ಮೇಲೆ ಬುಕರ್‌ ಪ್ರಶಸ್ತಿಯ ಎದೆಯ ಹಣತೆ,https://www.prajavani.nethttps://www.prajavani.net/art-culture/article-features/booker-prize-kannada-play-eddeya-hanate-stage-review-3414617,1752977515321,art-culture
ಶತಾವಧಾನಿ ಆರ್. ಗಣೇಶ್ ಲೇಖನ: ಸೌಂದರ್ಯತತ್ತ್ವಜ್ಞ ಕೆ. ಕೃಷ್ಣಮೂರ್ತಿ,https://www.prajavani.nethttps://www.prajavani.net/art-culture/article-features/indian-aesthetics-scholar-k-krishnamurthy-centenary-3414692,1752977495509,art-culture
